Match_ID,Start Date,Country,Country_ID,Opposition,Ground,Toss,Score,Wickets,Overs,RPO,Target,Inns,Margin,Result
ODI # 3452,04-Jan-14,Newzealad,5,West Indies,Nelson,won,285,6,50,5.7,,1,58 runs,won
ODI # 3453,08-Jan-14,WestIndies,4,New Zealand,Hamilton,lost,363,4,50,7.26,,1,203 runs,won
ODI # 3453,08-Jan-14,Newzealad,5,West Indies,Hamilton,won,160,10,29.5,5.36,364,2,203 runs,lost
ODI # 3454,12-Jan-14,England,1,Australia,Melbourne,won,269,7,50,5.38,,1,6 wickets,lost
ODI # 3454,12-Jan-14,Australia,2,England,Melbourne,lost,270,4,45.4,5.91,270,2,6 wickets,won
ODI # 3455,17-Jan-14,England,1,Australia,Brisbane,won,300,8,50,6,,1,1 wickets,lost
ODI # 3455,17-Jan-14,Australia,2,England,Brisbane,lost,301,9,49.3,6.08,301,2,1 wickets,won
ODI # 3456,19-Jan-14,Newzealad,5,India,Napier,lost,292,7,50,5.84,,1,24 runs,won
ODI # 3456,19-Jan-14,India,6,New Zealand,Napier,won,268,10,48.4,5.5,293,2,24 runs,lost
ODI # 3457,19-Jan-14,England,1,Australia,Sydney,won,243,9,50,4.86,,1,7 wickets,lost
ODI # 3457,19-Jan-14,Australia,2,England,Sydney,lost,244,3,40,6.1,244,2,7 wickets,won
ODI # 3458,22-Jan-14,Newzealad,5,India,Hamilton,lost,271,7,42,6.45,,1,15 runs,won
ODI # 3458,22-Jan-14,India,6,New Zealand,Hamilton,won,277,9,41.3,6.67,293,2,15 runs,lost
ODI # 3461,24-Jan-14,England,1,Australia,Perth,lost,316,8,50,6.32,,1,57 runs,won
ODI # 3461,24-Jan-14,Australia,2,England,Perth,won,259,10,47.4,5.43,317,2,57 runs,lost
ODI # 3463,26-Jan-14,England,1,Australia,Adelaide,lost,212,10,49.4,4.26,218,2,5 runs,lost
ODI # 3463,26-Jan-14,Australia,2,England,Adelaide,won,217,9,50,4.34,,1,5 runs,won
ODI # 3465,28-Jan-14,Newzealad,5,India,Hamilton,lost,280,3,48.1,5.81,279,2,7 wickets,won
ODI # 3465,28-Jan-14,India,6,New Zealand,Hamilton,won,278,5,50,5.56,,1,7 wickets,lost
ODI # 3467,31-Jan-14,Newzealad,5,India,Wellington,lost,303,5,50,6.06,,1,87 runs,won
ODI # 3467,31-Jan-14,India,6,New Zealand,Wellington,won,216,10,49.4,4.34,304,2,87 runs,lost
ODI # 3469,17-Feb-14,SriLanka,8,Bangladesh,Dhaka,lost,180,10,40,4.5,,1,13 runs,won
ODI # 3469,17-Feb-14,Bangladesh,25,Sri Lanka,Dhaka,won,167,10,39.2,4.24,181,2,13 runs,lost
ODI # 3470,20-Feb-14,SriLanka,8,Bangladesh,Dhaka,won,289,6,50,5.78,,1,61 runs,won
ODI # 3470,20-Feb-14,Bangladesh,25,Sri Lanka,Dhaka,lost,228,10,43,5.3,290,2,61 runs,lost
ODI # 3471,22-Feb-14,SriLanka,8,Bangladesh,Dhaka,won,246,4,47.3,5.17,241,2,6 wickets,won
ODI # 3471,22-Feb-14,Bangladesh,25,Sri Lanka,Dhaka,lost,240,8,50,4.8,,1,6 wickets,lost
ODI # 3473,25-Feb-14,SriLanka,8,Pakistan,Fatullah,won,296,6,50,5.92,,1,12 runs,won
ODI # 3473,25-Feb-14,Pakistan,7,Sri Lanka,Fatullah,lost,284,10,48.5,5.81,297,2,12 runs,lost
